nome,paese,regione,sub_regione,tipo_partecipazione,data_inizio,data_fine,personale_militare,personale_civile,personale_totale,costo_totale,tipo_missione,commitment,is_active
NATO Standing Naval Forces Med,Mediterranean Sea,Northern Africa and Meditterranean,Non specificata,civmil,2019-06-01 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,True
Northern Lightning I,Iceland,Rest of Europe,Non specificata,civmil,2019-09-27 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
EUNAVFOR Med - Irini,Mediterranean Sea,Northern Africa and Meditterranean,Non specificata,civmil,2020-03-31 00:00:00,,100.0,50.0,150,25000000,EU,Troops,True
Northern Lightning II,Iceland,Rest of Europe,Non specificata,civmil,2020-06-07 00:00:00,,100.0,50.0,150,25000000,NATO,Troops,False
Task Force Takuba,Mali,Sub-Saharan Africa,Non specificata,civmil,2020-06-16 00:00:00,,100.0,50.0,150,25000000,Multinational,Troops,False
TASK Force CEDRI,Lebanon,Middle East,Non specificata,civmil,2020-08-15 00:00:00,,100.0,50.0,150,25000000,Bilateral,Troops,False
EULEX,Kosovo,Europa,Balcani,civ,2008-12-09,2027-12-31,0.0,15.0,15,8000000,UE,Logistical Support & Advisory,False
MTC4L,Libano,Medio Oriente,Levante,mil,2006-08-01,2027-12-31,50.0,10.0,60,15000000,Bilateral,Logistical Support & Advisory,True
EMASOH,Stretto di Hormuz,Medio Oriente,Golfo Persico,mil,2020-01-20,2027-12-31,30.0,5.0,35,12000000,UE,Naval Forces,True
EUPOL COPPS,Cisgiordania,Medio Oriente,Levante,civ,2006-01-01,2027-12-31,0.0,12.0,12,8000000,UE,Logistical Support & Advisory,True
EUMAM Mozambico,Mozambico,Africa,Africa Australe,mil,2021-10-12,2027-12-31,15.0,5.0,20,10000000,UE,Head of Mission,True
Operazione LEVANTE,Mediterraneo Orientale,Medio Oriente,Mediterraneo,mil,2020-09-01,2027-12-31,200.0,20.0,220,45000000,Bilateral,Naval Forces,True
CTF153,Mar Rosso,Medio Oriente,Mar Rosso,mil,2022-04-17,2027-12-31,50.0,5.0,55,20000000,Multinational,Naval Forces,True
Mediterraneo Sicuro,Mediterraneo,Europa,Mediterraneo,mil,2015-05-04,2027-12-31,400.0,50.0,450,100000000,Bilateral,Naval Forces,True
NATO HQ Sarajevo,Bosnia ed Erzegovina,Europa,Balcani,mil,2004-12-02,2027-12-31,10.0,5.0,15,5000000,NATO,Logistical Support & Advisory,True
NATO MLNB,Serbia,Europa,Balcani,mil,2006-09-01,2027-12-31,5.0,3.0,8,3000000,NATO,Logistical Support & Advisory,True
BMIS Gibuti,Gibuti,Africa,Corno d'Africa,mil,2013-01-01,2027-12-31,150.0,30.0,180,50000000,Bilateral,Logistical Support & Advisory,True
Enhanced Vigilance Activity Bulgaria,Bulgaria,Europa,Balcani,mil,2022-01-01,2027-12-31,240.0,20.0,260,45000000,NATO,Troops,True
Enhanced Vigilance Activity Hungary,Ungheria,Europa,Europa Centrale,mil,2022-01-01,2027-12-31,200.0,15.0,215,40000000,NATO,Troops,True
